# key | English | Arabic
Common.Active|Active|نشط
Nav.Sales|Sales & Invoicing|المبيعات والفواتير
Nav.ScrapRework|Scrap & Rework|الهالك وإعادة التشغيل
Nav.Settings|Settings|الإعدادات
Nav.Users|Users & Permissions|المستخدمون والصلاحيات
Nav.Warehouses|Warehouses|المستودعات
NavGroup.Admin|Administration|الإدارة
NavGroup.Finance|Finance|المالية
NavGroup.Inventory|Inventory|المخزون
NavGroup.Overview|Overview|نظرة عامة
NavGroup.Production|Production|الإنتاج
NavGroup.Sales|Sales|المبيعات
Shell.Language|Language|اللغة
Shell.Logout|Sign out|تسجيل الخروج
Shell.OtherLanguage|Switch language|تبديل اللغة
Shell.Theme|Theme|المظهر
Theme.System|System theme|مظهر النظام
Theme.Light|Light|فاتح
Theme.Dark|Dark|داكن
Login.Inactive|This user account is inactive.|حساب المستخدم هذا غير نشط.
Login.Invalid|Invalid username or password.|اسم المستخدم أو كلمة المرور غير صحيحة.
Login.LockedOut|Account locked after repeated failed attempts. Try again after {0}.|تم قفل الحساب بعد محاولات فاشلة متكررة. حاول مرة أخرى بعد {0}.
Login.Password|Password|كلمة المرور
Login.Question|Forgot your password? Ask an administrator to reset it.|نسيت كلمة المرور؟ اطلب من المسؤول إعادة تعيينها.
Login.Required|Enter your username and password.|أدخل اسم المستخدم وكلمة المرور.
Login.SignIn|Sign in|تسجيل الدخول
Login.Tagline|Custom laser jobs — from request to profit|أعمال الليزر المخصصة — من الطلب إلى الربح
Login.Title|Sign in to LaserWorks Manager|تسجيل الدخول إلى LaserWorks Manager
Login.Username|Username|اسم المستخدم
Account.ChangePassword|Change password|تغيير كلمة المرور
Account.ConfirmPassword|Confirm new password|تأكيد كلمة المرور الجديدة
Account.CurrentPassword|Current password|كلمة المرور الحالية
Account.MustChange|You must change your password before continuing.|يجب تغيير كلمة المرور قبل المتابعة.
Account.NewPassword|New password|كلمة المرور الجديدة
Account.CashOrBank|Cash / bank account|حساب نقدية / بنك
Account.Edit|Edit account|تعديل الحساب
Account.NameAr|Name (Arabic)|الاسم (عربي)
Account.NameEn|Name (English)|الاسم (إنجليزي)
Account.New|New account|حساب جديد
Account.Parent|Parent account|الحساب الأب
Account.Postable|Postable (accepts entries)|قابل للترحيل (يقبل القيود)
Account.System|System account|حساب نظام
Account.SystemHint|System accounts are used by automatic postings; their code and type cannot be changed.|حسابات النظام تستخدمها القيود الآلية؛ لا يمكن تغيير رمزها أو نوعها.
Perm.Approve|Approve|اعتماد
Perm.Create|Create|إنشاء
Perm.Delete|Delete|حذف
Perm.Edit|Edit|تعديل
Perm.Export|Export|تصدير
Perm.Post|Post|ترحيل
Perm.Print|Print|طباعة
Perm.View|View|عرض
Users.AdminAlwaysAll|Administrators always have every permission.|المسؤول يملك جميع الصلاحيات دائماً.
Users.Audit|Audit trail|سجل التدقيق
Users.Edit|Edit user|تعديل المستخدم
Users.LastLogin|Last sign-in|آخر دخول
Users.LockedUntil|Locked until|مقفل حتى
Users.Module|Module|الوحدة
Users.New|New user|مستخدم جديد
Users.NewPassword|New password (min. 8 characters, letters and digits)|كلمة المرور الجديدة (8 أحرف على الأقل، حروف وأرقام)
Users.Permissions|Role permissions|صلاحيات الأدوار
Users.ResetPassword|Reset password|إعادة تعيين كلمة المرور
Users.Unlock|Unlock|فك القفل
Users.Users|Users|المستخدمون
Lang.ar|العربية|العربية
Lang.en|English|English
Costing.WeightedAverage|Moving weighted average|المتوسط المرجح المتحرك
Company.PaymentTerms|Default payment terms (printed on documents)|شروط الدفع الافتراضية (تُطبع على المستندات)
