# multi-component jobs, product templates, request items
Col.AmountExclTax|Amount (excl. tax)|المبلغ (بدون ضريبة)
Component.LockedHint|This line already carries cost or stock movements: its item, source and type can no longer change. Reverse the movements first to change them.|هذا البند عليه تكاليف أو حركات مخزون: لا يمكن تغيير الصنف أو المصدر أو النوع. اعكس الحركات أولاً لتغييرها.
Component.New|New component line|بند مكوّن جديد
Component.NoItem|(no item – description only)|(بدون صنف – وصف فقط)
Component.PickRemnant|Select a remnant|اختر قطعة بقايا
Component.RecordCost|Record direct cost|تسجيل تكلفة مباشرة
Component.ReverseCost|Reverse direct cost|عكس التكلفة المباشرة
Component.Title|Components & materials|المكوّنات والمواد
Doc.ComponentsVariance|Components: estimated vs actual|المكوّنات: التقديري مقابل الفعلي
Doc.NotOnLine|Other cost elements (not on a component line)|عناصر تكلفة أخرى (خارج بنود المكوّنات)
Estimate.ReworkAllowance|Rework allowance %|مخصص إعادة التشغيل %
Job.TabComponents|Components|المكوّنات
Msg.TemplateSaved|Template saved.|تم حفظ القالب.
Request.Items|Requested items|الأصناف المطلوبة
Request.ItemsHint|List every material, component, accessory, packaging or service the customer asked for (quantity per finished unit). The estimate starts with one line per item.|أدرج كل مادة أو مكوّن أو ملحق أو تغليف أو خدمة طلبها العميل (الكمية لكل وحدة منتهية). يبدأ التقدير ببند لكل صنف.
Rpt.JobComponents|Job components|مكوّنات أوامر العمل
Template.Empty|No templates yet. Open an estimate or a job and choose "Save as template".|لا توجد قوالب بعد. افتح تقديراً أو أمر عمل واختر "حفظ كقالب".
Template.Name|Template name|اسم القالب
Template.NewEstimate|New from template|جديد من قالب
Template.SaveAs|Save as template|حفظ كقالب
Template.SaveJobAs|Save job as template|حفظ الأمر كقالب
Template.SaveTitle|Save as product template|حفظ كقالب منتج
Template.Title|Product templates|قوالب المنتجات
Template.Use|Create estimate|إنشاء تقدير
Enum.ComponentCategory.RawMaterial|Raw material|مادة خام
Enum.ComponentCategory.PurchasedComponent|Purchased component|مكوّن مشترى
Enum.ComponentCategory.Consumable|Consumable|مستهلكات
Enum.ComponentCategory.Packaging|Packaging|تغليف
Enum.ComponentCategory.ExternalService|External service|خدمة خارجية
Enum.ComponentCategory.OtherDirect|Other direct cost|تكلفة مباشرة أخرى
Enum.ComponentSource.Inventory|Inventory|المخزون
Enum.ComponentSource.Remnant|Remnant|بقايا
Enum.ComponentSource.DirectPurchase|Direct purchase|شراء مباشر
Enum.ComponentSource.ExternalService|External service|خدمة خارجية
Enum.ComponentSource.ManualCost|Manual cost|تكلفة يدوية
Enum.CostComponent.PurchasedComponents|Purchased components|مكوّنات مشتراة
Enum.CostComponent.ExternalServices|External services|خدمات خارجية
Enum.MaterialKind.PurchasedComponent|Purchased component|مكوّن مشترى
Enum.MaterialKind.Packaging|Packaging|تغليف
Enum.MaterialKind.Service|Service|خدمة
Enum.SequenceKey.ProductTemplate|Product template|قالب منتج
Err.ComponentCategoryMismatch|The component type does not match the item kind.|نوع المكوّن لا يطابق نوع الصنف.
Err.ComponentHasCost|This component line already has cost or stock movements. Reverse them first.|بند المكوّن هذا عليه تكاليف أو حركات مخزون. اعكسها أولاً.
Err.ComponentIsStocked|This line is supplied from stock: use Issue material or Use remnant, not a direct cost.|هذا البند يُورَّد من المخزون: استخدم صرف المواد أو استخدام البقايا وليس تكلفة مباشرة.
Err.ComponentItemMismatch|The remnant does not belong to the line's material.|قطعة البقايا لا تخص مادة هذا البند.
Err.ComponentNotStocked|This line is not supplied from stock: record a direct cost instead.|هذا البند لا يُورَّد من المخزون: سجّل تكلفة مباشرة بدلاً من ذلك.
Err.RemnantNeedsRawMaterial|Remnants can only be made of raw (sheet) material.|لا يمكن إنشاء بقايا إلا من المواد الخام (الألواح).
Err.ServiceNotStocked|A service item is never held in stock.|صنف الخدمة لا يُحتفظ به في المخزون.
Col.Lines|Lines|البنود
Col.Remaining|Remaining|المتبقي
Grid.Empty|No records to show.|لا توجد سجلات لعرضها.
Grid.Loading|Loading…|جارٍ التحميل…
Component.NewItem|New item|صنف جديد
Component.NewItemTip|Create a new item in the item master (raw material, purchased component, consumable, packaging or service) and use it on this line.|إنشاء صنف جديد في دليل الأصناف (مادة خام أو مكوّن مشترى أو مستهلكات أو تغليف أو خدمة) واستخدامه في هذا البند.
Source.CustomerPayment|Customer payment|دفعة عميل
Source.DirectCost|Direct cost|تكلفة مباشرة
Source.DirectCostReversal|Direct cost reversal|عكس تكلفة مباشرة
Source.Expense|Expense|مصروف
Source.InventoryTx|Stock movement|حركة مخزون
Source.Job|Job|أمر عمل
Source.JobComponent|Job component|مكوّن أمر عمل
Source.JobOperation|Operation|عملية تشغيل
Source.Manual|Manual entry|قيد يدوي
Source.Opening|Opening balance|رصيد افتتاحي
Source.Overhead|Overhead allocation|تحميل تكاليف غير مباشرة
Source.PurchaseReceipt|Goods receipt|استلام مشتريات
Source.PurchaseReturn|Purchase return|مرتجع مشتريات
Source.Remnant|Remnant|قطعة بقايا
Source.SalesInvoice|Sales invoice|فاتورة مبيعات
Source.SalesReturn|Sales return|مرتجع مبيعات
Source.Scrap|Scrap / rework|هالك / إعادة تشغيل
Source.SupplierInvoice|Supplier invoice|فاتورة مورد
Source.SupplierPayment|Supplier payment|دفعة لمورد
Source.Other|Other|أخرى
